uid	vopenid	predicted_proba	feature_importances
5519432156	31842770964841768	0.94821054	
5511241315	31305278020781352	0.6925974	
5472088922	28909193813951784	0.9859153	
5460737214	28199284977829160	0.9999634	
5450267375	27583153665606952	0.89950216	
5436459260	26765248547915048	0.9876414	
5398746577	24494328143807784	0.86015075	
5364018580	22337463213491496	0.11583477	
5336251649	20629749521319208	0.9970049	
5329835536	20229421122585896	0.9857641	
5325946261	19988041410413864	0.9799299	
5309764513	18987370737435944	0.99157953	
5269337186	16424683608343848	0.99466646	
5265683551	16185683710706984	0.9998938	
5263368826	16035405153830184	0.9941935	
5261313703	15902882729952552	0.98248416	
5254294026	15446718414193960	0.99967873	
5248469911	15067799487907112	0.9872722	
5247055442	14976089520997672	0.9856997	
5239291218	14469140706624808	0.99475986	
5234753492	14142934249506088	0.8001111	
5233750202	14078014610867496	0.9562371	
5230132917	13837967479407912	0.86498064	
5230046248	13832305101899048	0.962829	
5209647882	12487690159523112	0.9957618	
5208625499	12427771540538664	0.45163846	
5193749099	11527609142084904	0.9987257	
5154912225	9197080430380328	0.99750704	
5135084267	7935213066126632	0.79116124	
5130214877	7633434034177320	0.9436516	
51459303651	75121433185223976	0.0030709405	
5128049460	7505238655632680	0.36568254	
5122926327	7182212353361192	0.92025316	
5122724145	7169647963407656	0.9851916	
51377241334	70664588840273192	0.99920875	
51345588754	69031346928223528	0.779159	
51342917224	68897099202561320	0.99981695	
51300628164	66813921348420904	0.012560441	
51299833405	66771946633037096	0.99954826	
51298589277	66708321255949608	0.9988201	
51291272395	66334387041862952	0.44897175	
51258063910	64716649089336616	0.9475738	
5110218076	6442915069297960	0.9129022	
5109495412	6407299187213608	0.96698684	
51227872934	63343687027262760	0.67296416	
5100891222	6030598275990824	0.6548488	
5918290532	55758867526976808	0.96521795	
5914740162	55549315938387240	0.84503686	
5812909043	49484505295488296	0.8118064	
5812034453	49434423359571240	0.99658394	
5755048777	46015727840658728	0.046841327	
5748784485	45645206917612840	0.84545076	
5719172910	43916894696506664	0.83100504	
5654304678	40046185343747368	0.99939704	
5647638432	39637124068541736	0.86510485	
5628021598	38418864379659560	0.97858	
563347337	3764130477901096	0.835371	
