uid	vopenid	predicted_proba
5101718686	6057289014707496	0.94452786
51017399696	61423363125806376	0.6922838
51017400682	61423370038019368	0.9858979
51017781793	61443410086987048	0.6767026
51017905361	61450327467361576	0.55948865
51018540334	61484145838523688	0.94676644
5101855861	6060350453974312	0.9999851
51018742195	61494321958225192	0.9247217
51018775651	61496317775840552	0.17570996
51018849588	61500079898756392	0.20145106
51018882343	61501909219280168	0.9581516
51019014135	61509037791249704	0.9681859
51019121933	61515060006487336	0.8242142
510193250	80588552144168	0.89773625
51019373405	61528133954045224	0.9996456
51019471128	61533109807875368	0.92148423
51019733510	61546616808932648	0.9580063
51019887990	61554422240904488	0.11960828
51019961454	61558442263184680	0.98397756
51019989519	61559936240715048	0.8467532
51020062656	61563877208753448	0.9990245
51020073610	61564510984865064	0.8266888
51020186784	61570845524755752	0.9975874
51020260546	61574830516208936	0.54897463
51020262627	61575120762045736	0.6509907
51020686794	61596452455318824	0.70396674
51020707783	61597530760545576	0.026807934
5102077941	6066195568919848	0.93553144
51020828847	61603661893469480	0.0046061873
51020850882	61604782208845096	0.7300919
51020890939	61606834733450536	0.71076655
5102138244	6068235208623400	0.07797745
5102165007	6069262779548968	0.2077918
5102320333	6077156929439016	0.6870035
5102331256	6077802449601832	0.962888
510237975	83749849400616	0.98973376
510238569	83784276247848	0.71051407
510241749	84013251691816	0.9443198
510243879	84161763607848	0.71611583
510244531	84208471377192	0.5348645
510272718	86180465345832	0.86033416
5102791569	6094007562536232	0.29870856
5102829591	2664325718607144	0.7782146
5102937692	6098394737411368	0.9333583
5103159069	6105104684287272	0.8451534
5103223324	6107036010284328	0.91182005
5103306272	6109534473291048	0.9996193
510332442	90322827085096	0.012291789
510356038	92018332534056	0.9038344
510360037	92306162451752	0.9762817
510361302	92399041119528	0.212677
5103713534	6126315313169704	0.88031244
5103773529	6129863560135976	0.99052703
5103816723	6132558383678760	0.9997126
5103853881	6134652448671016	0.8299767
510389680	94453243446568	0.99302864
5104525110	6159157518796072	0.6896374
5104628168	5849433334220072	0.92834413
5104791817	6169359206974760	0.9933169
510491644	102110029284648	0.96556866
510495008	102350547453224	0.28088292
5104975170	6179295748031784	0.9593953
510498226	102579187352872	0.9529408
510502021	102852320429352	0.71789134
5105073004	6185387957814568	0.9864501
5105200178	6191959257777448	0.60096496
5105365493	6199016694351144	0.5425496
5105371638	6199273117320488	0.348754
5105420941	6201215247844648	0.7274193
5105490325	6203913158395176	0.99054885
5105491488	6203957383136552	0.9990907
510560109	106888381728040	0.76281404
5105745064	6213898688922920	0.9999951
5105756929	6214429184492840	0.944842
5105878944	6220722318214440	0.84899414
5105920439	6223225143297320	0.78160447
5106020332	6229132132615464	0.9384422
5106067041	6231655358793000	0.9398016
5106243012	6239150009615656	0.51942563
5106333648	5858204194309416	0.5266416
5106383665	6244542743708968	0.77420294
510642155	112868721034536	0.971849
5106520438	6249694758307112	0.9999969
5106620790	6253881814549800	0.99984956
5106649055	6255130039420200	0.93800354
5106690626	6257157800854824	0.115249366
5106692544	6257256182449448	0.9974758
5106726860	6259090200593704	0.9879011
5106755159	6260703766119720	0.7754155
5106856001	6266930529174824	0.9454887
5106943302	6272078718567720	0.7228158
5107042080	6277504201786664	0.6365944
5107091362	6279928039736616	0.20889184
5107094675	6280101180605736	0.020907879
5107147317	6282575417312552	0.51575816
510715816	118163409077544	0.9513563
5107175039	6283819884086568	0.84236157
5107194884	6284696124523816	0.6101333
5107216190	6285629810148648	0.6376784
5107222297	6285897440298280	0.9120593
5107493595	6298282783802664	0.9507341
510756410	120987484292392	0.97930396
5107600622	6304621148898600	0.6356681
5107687442	6310158972355880	0.9998373
5107751006	6313975117907240	0.8068011
5107763788	6314740897154344	0.86441076
510786036	123049471247656	0.8830519
5107919559	6323730196596008	0.5629029
510801492	124124286813480	0.9783023
510801626	124133480727848	0.7401837
5108024886	6329100516328744	0.99980366
5108042545	6329932532024616	0.97242755
510811657	124838660670760	0.9965385
5108174439	6335883074995496	0.9633169
5108251807	6339424074204456	0.7023191
5108398656	6347205548311848	0.9015891
5108407375	6347718125815080	0.9362736
5108437492	6330660126328104	0.9819185
5108497332	6353403924317480	0.97056246
5108522348	6354808781276456	0.9990356
5108546320	6356495428355368	0.95781213
5108584506	6358714450052392	0.9016918
5108607358	6360078370604328	0.57366866
5108623169	6361013666841896	0.9918761
5108626542	6361213986800936	0.3089046
5108637839	6361873130063144	0.99997854
510865789	128666080511272	0.9993005
5108658899	6362967205872936	0.9969886
5108681246	6364377297323304	0.8407933
5108749566	6368051641845032	0.05530086
5108852621	6373148895610152	0.8179728
5108987757	6379344453043496	1.0
5109024990	6381044454786344	0.5754624
5109108173	6384931400189224	0.5899415
5109109497	6384990925751592	0.0027066767
5109136476	6383513188566312	0.99978435
5109250307	6393038486504744	0.8710754
5109303277	6396436275397928	0.98667496
