uid	vopenid	predicted_proba	feature_importances
51011435606	61110422950249768	0.9906376	
51011555007	61117119206917416	0.9996698	
51011576734	61118372464952616	0.88445365	
51011661418	61123235307455784	0.4824071	
51011709059	61125536805946664	0.5366783	
51011847896	61132770738832680	0.97924757	
51011938019	61137476211049768	0.9995521	
51011958173	61138489823331624	0.9500929	
51012055894	61143384542545192	0.98803794	
51012091123	61145188764353832	0.9952702	
51012269585	61153791248303400	0.9983909	
51012287136	61155453199320360	0.019200763	
51012288443	61155488699909416	0.34435815	
51012342872	61158212178937128	0.99785066	
51012487104	61165710789182760	0.5886122	
51012517440	61167179265344808	0.9814642	
510125987	75879120504104	0.99839467	
51012700340	61177562684327208	0.9967884	
51012888557	61188100453696808	0.9844253	
51013023081	61194724769662248	0.94715905	
51013138884	61200706518254888	0.9681515	
51013267280	61207004953576744	0.98787826	
51013538256	61220756499334440	0.9975056	
51013614705	61224673710834984	0.9956073	
51013662328	61227307263984936	0.9892793	
51013666558	61227531340481832	0.9988826	
51014308200	61260236778243368	0.9519188	
51014486971	61269238492824872	0.4074265	
5101452356	6051419405026600	0.9399447	
51014617398	61275929112347944	0.9881493	
510147285	77357260342568	0.9994266	
51014782915	61285011357566248	0.9819437	
51014849246	61288796230386984	0.9945221	
5101516727	6052871171081512	0.73723817	
51015652154	61330231994484008	0.7018042	
51015660219	61330668738970920	0.9999124	
51015674352	61331341572441384	0.89173704	
51015941273	61346419592004904	0.37447476	
51015951521	61346935122298152	0.9164293	
51016148951	61357032321975592	0.9937312	
51016828612	61392668538045736	0.9050934	
51016923085	61398292529284392	0.8728595	
51017067078	61406269088859432	0.9648051	
5101718686	6057289014707496	0.9537563	
51017399696	61423363125806376	0.9970636	
51017400682	61423370038019368	0.99921966	
51017781793	61443410086987048	0.9905956	
51017905361	61450327467361576	0.8412505	
51018540334	61484145838523688	0.97329354	
5101855861	6060350453974312	0.9998814	
51018742195	61494321958225192	0.9968034	
51018775651	61496317775840552	0.16525126	
51018849588	61500079898756392	0.70592886	
51018882343	61501909219280168	0.9976342	
51019014135	61509037791249704	0.9992293	
51019121933	61515060006487336	0.9695098	
510193250	80588552144168	0.9619776	
51019373405	61528133954045224	0.9999361	
51019471128	61533109807875368	0.98704034	
51019733510	61546616808932648	0.92582697	
51019887990	61554422240904488	0.06692444	
51019961454	61558442263184680	0.9626249	
51019989519	61559936240715048	0.990361	
51020062656	61563877208753448	0.99965465	
51020073610	61564510984865064	0.94208896	
51020186784	61570845524755752	0.98746294	
